hubmap_id	landing_page_to_register	data_information_page	doi
HBM539.RRDB.894	https://entity.api.hubmapconsortium.org/redirect/HBM539.RRDB.894	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/pelvis-female.html             	https://doi.org/10.48539/HBM539.RRDB.894
HBM672.KSST.448	https://entity.api.hubmapconsortium.org/redirect/HBM672.KSST.448	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/pelvis-male.html               	https://doi.org/10.48539/HBM672.KSST.448
HBM287.TJZD.872	https://entity.api.hubmapconsortium.org/redirect/HBM287.TJZD.872	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/skin-female.html               	https://doi.org/10.48539/HBM287.TJZD.872
HBM689.CGPV.442	https://entity.api.hubmapconsortium.org/redirect/HBM689.CGPV.442	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/skin-male.html                 	https://doi.org/10.48539/HBM689.CGPV.442
HBM626.WZGS.532	https://entity.api.hubmapconsortium.org/redirect/HBM626.WZGS.532	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/spleen-female.html             	https://doi.org/10.48539/HBM626.WZGS.532
HBM583.DRHV.265	https://entity.api.hubmapconsortium.org/redirect/HBM583.DRHV.265	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/spleen-male.html               	https://doi.org/10.48539/HBM583.DRHV.265
HBM896.TWPT.542	https://entity.api.hubmapconsortium.org/redirect/HBM896.TWPT.542	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/thymus-female.html             	https://doi.org/10.48539/HBM896.TWPT.542
HBM955.BGTP.947	https://entity.api.hubmapconsortium.org/redirect/HBM955.BGTP.947	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/thymus-male.html               	https://doi.org/10.48539/HBM955.BGTP.947
HBM253.DKWB.737	https://entity.api.hubmapconsortium.org/redirect/HBM253.DKWB.737	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/vasculature-female.html        	https://doi.org/10.48539/HBM253.DKWB.737
HBM784.ZDZF.357	https://entity.api.hubmapconsortium.org/redirect/HBM784.ZDZF.357	https://hubmapconsortium.github.io/ccf-releases/v1.0/docs/ref-organs/vasculature-male.html          	https://doi.org/10.48539/HBM784.ZDZF.357
